Countries and areas,Region,Sub-region,Development regions,Age group,Subject,Total,Gender Girls,Gender Boys,Residence Rural,Residence Urban,Wealth quintile: Poorest,Wealth quintile: Second,Wealth quintile: Middle,Wealth quintile: Fourth,Wealth quintile: Richest,Data Source,Data Year
Kiribati,EAP,EAP,Least Developed,Age 7 to 14,Numeracy,22 ,24 ,19 ,25 ,18 ,22 ,23 ,16 ,17 ,31 ,MICS6,2018-2019
Kiribati,EAP,EAP,Least Developed,Grade 2/3,Reading,29 ,35 ,24 ,26 ,32 ,18 ,32 ,15 ,31 ,51 ,MICS6,2018-2019
Kiribati,EAP,EAP,Least Developed,Grade 2/3,Numeracy,12 ,12 ,12 ,15 ,9 ,12 ,18 ,4 ,6 ,21 ,MICS6,2018-2019
Kyrgyzstan,ECA,EECA,Less Developed,Age 7 to 14,Reading,58 ,60 ,56 ,54 ,67 ,53 ,52 ,52 ,60 ,77 ,MICS6,2018
Kyrgyzstan,ECA,EECA,Less Developed,Age 7 to 14,Numeracy,51 ,54 ,49 ,49 ,56 ,51 ,43 ,52 ,50 ,64 ,MICS6,2018
Kyrgyzstan,ECA,EECA,Less Developed,Grade 2/3,Reading,39 ,42 ,35 ,33 ,51 ,37 ,20 ,43 ,36 ,64 ,MICS6,2018
Kyrgyzstan,ECA,EECA,Less Developed,Grade 2/3,Numeracy,30 ,34 ,26 ,28 ,34 ,35 ,17 ,32 ,27 ,42 ,MICS6,2018
Lesotho,SSA,ESA,Least Developed,Age 7 to 14,Reading,44 ,53 ,34 ,37 ,57 ,27 ,39 ,49 ,45 ,68 ,MICS6,2018
Lesotho,SSA,ESA,Least Developed,Age 7 to 14,Numeracy,13 ,15 ,11 ,11 ,18 ,7 ,13 ,16 ,13 ,20 ,MICS6,2018
Lesotho,SSA,ESA,Least Developed,Grade 2/3,Reading,13 ,18 ,8 ,8 ,25 ,8 ,6 ,10 ,11 ,36 ,MICS6,2018
Lesotho,SSA,ESA,Least Developed,Grade 2/3,Numeracy,1 ,2 ,0 ,1 ,2 ,1 ,0 ,2 ,2 ,2 ,MICS6,2018
Madagascar,SSA,ESA,Least Developed,Age 7 to 14,Reading,24 ,26 ,21 ,19 ,40 ,5 ,12 ,22 ,33 ,59 ,MICS6,2018
Madagascar,SSA,ESA,Least Developed,Age 7 to 14,Numeracy,7 ,8 ,6 ,6 ,12 ,1 ,3 ,5 ,12 ,20 ,MICS6,2018
Madagascar,SSA,ESA,Least Developed,Grade 2/3,Reading,13 ,15 ,12 ,12 ,20 ,7 ,11 ,9 ,13 ,33 ,MICS6,2018
Madagascar,SSA,ESA,Least Developed,Grade 2/3,Numeracy,4 ,5 ,3 ,4 ,5 ,1 ,2 ,2 ,4 ,14 ,MICS6,2018
Mongolia,EAP,EAP,Less Developed,Age 7 to 14,Reading,63 ,64 ,63 ,63 ,63 ,60 ,59 ,66 ,66 ,66 ,MICS6,2018
Mongolia,EAP,EAP,Less Developed,Age 7 to 14,Numeracy,46 ,48 ,44 ,49 ,45 ,46 ,43 ,47 ,49 ,46 ,MICS6,2018
Mongolia,EAP,EAP,Less Developed,Grade 2/3,Reading,45 ,47 ,43 ,43 ,47 ,41 ,40 ,45 ,52 ,50 ,MICS6,2018
Mongolia,EAP,EAP,Less Developed,Grade 2/3,Numeracy,29 ,29 ,29 ,28 ,30 ,23 ,27 ,30 ,35 ,31 ,MICS6,2018
Nepal,SA,SA,Least Developed,Age 7 to 14,Reading,39 ,40 ,38 ,36 ,41 ,33 ,38 ,34 ,41 ,56 ,MICS6,2019
Nepal,SA,SA,Least Developed,Age 7 to 14,Numeracy,37 ,36 ,38 ,29 ,41 ,22 ,32 ,37 ,44 ,58 ,MICS6,2019
Nepal,SA,SA,Least Developed,Grade 2/3,Reading,20 ,20 ,20 ,13 ,23 ,11 ,12 ,18 ,24 ,39 ,MICS6,2019
Nepal,SA,SA,Least Developed,Grade 2/3,Numeracy,20 ,14 ,25 ,12 ,23 ,3 ,12 ,23 ,25 ,40 ,MICS6,2019
North Macedonia,ECA,EECA,More Developed,Age 7 to 14,Reading,64 ,70 ,58 ,62 ,66 ,47 ,56 ,75 ,76 ,79 ,MICS6,2018-2019
North Macedonia,ECA,EECA,More Developed,Age 7 to 14,Numeracy,41 ,35 ,47 ,38 ,43 ,28 ,37 ,50 ,42 ,57 ,MICS6,2018-2019
